Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kyrone Randolph,M,SBD,Raw,32.5,24-34,24-39,MR-O,133.1,120+,290,-305,305,,305,185,195,202.5,,202.5,-260,260,-272.5,,260,767.5,10,426.75,432.32,412.36,85.39,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Rick Burgon,M,SBD,Raw,38,35-39,24-39,MR-O,178.8,120+,280,300,315,,315,152.5,162.5,170,,170,285,307.5,320,,320,805,6,413.56,433.69,405.81,80.32,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Paul Kirkbride-Richards,M,SBD,Raw,32.5,24-34,24-39,MR-O,177.4,120+,347.5,367.5,380,,380,210,220,227.5,,227.5,312.5,332.5,352.5,,352.5,960,2,494.17,517.85,484.50,96.03,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Adam Crafer,M,SBD,Raw,27.5,24-34,24-39,MR-O,118.1,120,255,-265,265,,265,142.5,-150,-150,,142.5,285,295,302.5,,302.5,710,26,409.95,409.75,392.55,83.11,Yes,England,EM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Jack Bain,M,SBD,Raw,29,24-34,24-39,MR-O,119.1,120,265,285,290,,290,150,160,-165,,160,250,270,282.5,,282.5,732.5,20,421.74,421.88,404.23,85.43,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Conner Twiname,M,SBD,Raw,,,,MR-O,116.9,120,245,265,280,,280,140,150,157.5,,157.5,275,295,-310,,295,732.5,19,424.43,423.81,405.90,86.13,Yes,England,NW,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Andy Williams #1,M,SBD,Raw,30,24-34,24-39,MR-O,116.9,120,260,277.5,290,,290,145,155,162.5,,162.5,262.5,282.5,-292.5,,282.5,735,18,425.88,425.26,407.29,86.43,Yes,Wales,,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Sam Burgess,M,SBD,Raw,,,,MR-O,119.3,120,245,262.5,270,,270,167.5,177.5,180,,180,265,282.5,295,,295,745,16,428.70,428.90,410.98,86.82,Yes,England,NM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Hussein Waiswa,M,SBD,Raw,,,,MR-O,108.4,120,250,265,280,,280,-157.5,165,-170,,165,285,302.5,-317.5,,302.5,747.5,14,445.19,441.92,422.20,90.94,Yes,England,SM,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
Alexander Jackson #3,M,SBD,Raw,24.5,24-34,24-39,MR-O,118.4,120,275,292.5,-305,,292.5,232.5,-240,-240,,232.5,292.5,310,315,,315,840,6,484.60,484.48,464.16,98.22,Yes,England,SE,BP,IPF,2024-11-21,England,,Wolverhampton,British Open Classic Powerlifting Championships,Yes
