Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Monique Boddie,F,SBD,Raw,40,40-44,40-49,Open,116.8,84+,185,192.5,200,,200,130,-135,135,,135,220,230,-235,,230,565,7,456.92,454.02,385.30,97.31,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Corinna Senn,F,SBD,Raw,33,24-34,24-39,Open,79.7,84,155,-162.5,-162.5,,155,-87.5,-87.5,-87.5,,,155,-172.5,-172.5,,155,,DQ,,,,,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Dayna McNeal,F,SBD,Raw,37,35-39,24-39,Open,74.45,76,177.5,187.5,195,,195,87.5,92.5,95,,95,230,242.5,-252.5,,242.5,532.5,4,520.67,508.57,447.48,106.03,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kimberley Beyl,F,SBD,Raw,28.5,24-34,24-39,Open,68.2,69,125,135,142.5,,142.5,72.5,75,-77.5,,75,160,175,-180,,175,392.5,18,402.82,397.66,350.72,81.85,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jonna Alanko,F,SBD,Raw,35.5,35-39,24-39,Open,62.55,63,145,152.5,-157.5,,152.5,80,-85,-85,,80,165,175,-182.5,,175,407.5,13,440.19,440.02,388.58,89.57,Yes,Finland,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Matt Bekker,M,SBD,Raw,27.5,24-34,24-39,Open,141.95,120+,270,285,-300,,285,182.5,192.5,-200,,192.5,290,310,322.5,,322.5,800,9,436.73,446.13,423.61,86.73,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kaylon Godoy,M,SBD,Raw,28,24-34,24-39,Open,119.65,120,-320,-320,320,,320,215,-220,-220,,215,325,-340,-340,,325,860,8,494.38,494.77,474.11,100.10,Yes,Belize,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Bernard Douglas,M,SBD,Raw,36,35-39,24-39,Open,96,105,202.5,-215,-215,,202.5,142.5,-147.5,147.5,,147.5,252.5,265,272.5,,272.5,622.5,19,390.20,385.41,368.46,80.19,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Hironori Kurihara,M,SBD,Raw,36.5,35-39,24-39,Open,104.5,105,270,290,-315,,290,177.5,187.5,-195,,187.5,260,275,-300,,275,752.5,16,454.71,450.42,430.09,93.11,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Ntuli Nkosinathi,M,SBD,Raw,24.5,24-34,24-39,Open,92.45,93,240,-250,-250,,240,140,145,147.5,,147.5,270,290,-300,,290,677.5,24,432.30,426.81,408.59,88.89,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Chance Mitchell #1,M,SBD,Raw,27,24-34,24-39,Open,92.1,93,-290,305,315,,315,175,185,190,,190,-352.5,373.5,-383.5,,373.5,878.5,1,561.58,554.44,530.86,115.47,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Arno Nieuwenhuizen,M,SBD,Raw,22.5,20-23,19-23,Open,82.5,83,215,-225,,,215,120,-125,,,120,275,-300,,,275,610,22,413.21,408.64,393.19,84.70,Yes,South Africa,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Francois Chikukwa,M,SBD,Raw,25.5,24-34,24-39,Open,78.8,83,220,-222.5,-222.5,,220,-140,140,145,,145,240,250,260,,260,625,21,434.86,430.82,415.39,88.83,Yes,Zimbabwe,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Chelan Carr,M,SBD,Raw,28,24-34,24-39,Open,82.3,83,207.5,-215,215,,215,145,-150,155,,155,270,-282.5,282.5,,282.5,652.5,19,442.61,437.75,421.25,90.71,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Khalleefah Salim,M,SBD,Raw,30.5,24-34,24-39,Open,81.55,83,-227.5,227.5,-242.5,,227.5,160,172.5,175,,175,-270,270,-302.5,,270,672.5,18,458.57,453.68,436.76,93.93,Yes,Libya,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Delaney Wallace,M,SBD,Raw,27,24-34,24-39,Open,82.4,83,282.5,295,-302.5,,295,180,187.5,192.5,,192.5,302.5,315,-322.5,,315,802.5,1,543.98,537.99,517.68,111.50,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Michael Karuma Junior,M,SBD,Raw,24.5,24-34,24-39,Open,68.55,74,180,200,-202.5,,200,140,145,-150,,145,250,255,260,,260,605,14,461.17,460.79,446.97,92.44,Yes,Zimbabwe,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Adnan Rajab Tlooba,M,SBD,Raw,28.5,24-34,24-39,Open,65.8,66,180,205,-212.5,,205,100,112.5,-115,,112.5,250,-272.5,-272.5,,250,567.5,14,445.65,446.71,434.14,88.61,Yes,Libya,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Marnix Musundire,M,SBD,Raw,22.5,20-23,19-23,Open,64.8,66,-200,200,215,,215,-117.5,117.5,120,,120,230,235,240,,240,575,13,456.76,458.42,445.85,90.51,Yes,Zimbabwe,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Joseph Jordan #2,M,SBD,Raw,33,24-34,24-39,Open,65.8,66,232.5,245,-250,,245,155,-160,-160,,155,270,285,-297.5,,285,685,4,537.93,539.21,524.03,106.95,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jonathan Garcia #1,M,SBD,Raw,33,24-34,24-39,Open,65.75,66,252.5,263.5,271,,271,-165,170,-175,,170,235,247.5,255,,255,696,2,546.87,548.21,532.79,108.71,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Chandler Babb,F,SBD,Raw,29,24-34,24-39,Open,68.25,69,175,187.5,192.5,,192.5,102.5,107.5,-112.5,,107.5,230,235,-242.5,,235,535,1,548.83,541.75,477.80,111.52,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Deshawn Larrimore,F,SBD,Raw,31,24-34,24-39,Open,61.3,63,127.5,132.5,-140,,132.5,67.5,70,-72.5,,70,170,-175,-175,,170,372.5,17,407.43,408.48,360.82,82.98,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Priscilla Delmoral,F,SBD,Raw,23,20-23,24-39,Open,55.45,57,125,130,-135,,130,67.5,72.5,77.5,,77.5,125,130,-135,,130,337.5,14,393.78,400.19,354.06,80.85,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,23.5,24-34,24-39,Open,174.7,120+,410,-430,-440,,410,235,250,260,,260,352.5,-380,-380,,352.5,1022.5,1,528.40,552.94,517.18,102.81,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Akeame Jones,M,SBD,Raw,32.5,24-34,24-39,Open,83,83,227.5,240,252.5,,252.5,160,167.5,175,,175,257.5,260,282.5,,282.5,710,14,479.31,473.92,455.88,98.28,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Garmez Parks,M,SBD,Raw,56.5,55-59,50-59,Open,110.85,120,215,220,230,,230,152.5,160,-162.5,,160,242.5,255,262.5,,262.5,652.5,14,385.34,383.10,366.23,78.58,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Gavin Adin,M,SBD,Raw,23.5,24-34,24-39,Open,92.4,93,305,320,-331.5,,320,200,210,-215,,210,305,-320,335,,335,865,4,552.08,545.07,521.82,113.52,Yes,US Virgin Islands,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Amanda Lawrence #1,F,SBD,Raw,25,24-34,24-39,Open,83.3,84,225,235,242.5,,242.5,120,-127.5,-127.5,,120,237.5,252.5,-263,,252.5,615,1,568.16,550.74,481.76,116.53,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kristen Dunsmore,F,SBD,Raw,32.5,24-34,24-39,Open,68.8,69,135,-145,-145,,135,102.5,107.5,110,,110,195,-202.5,,,195,440,12,449.32,443.03,390.67,91.30,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Kyota Ushiyama,M,SBD,Raw,24.5,24-34,24-39,Open,65.45,66,215,227.5,232.5,,232.5,165,-170,170,,170,270,282.5,-295,,282.5,685,3,540.07,541.59,526.48,107.25,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Michael Davis #1,M,SBD,Raw,26,24-34,24-39,Open,104.2,105,307.5,320,330,,330,205,215,220,,220,345,-360,360,,360,910,2,550.52,545.25,520.64,112.75,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Chelsea Savit,F,SBD,Raw,30.5,24-34,24-39,Open,68.55,69,165,175,-180,,175,112.5,117.5,122.5,,122.5,187.5,197.5,-207.5,,197.5,495,5,506.53,499.69,440.67,102.93,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Taylor Atwood,M,SBD,Raw,33.5,24-34,24-39,Open,73.55,74,245,262.5,277.5,,277.5,182.5,192.5,197.5,,197.5,277.5,297.5,315,,315,790,1,573.96,570.73,551.92,116.35,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Marisa Inda,F,SBD,Raw,45,45-49,40-49,Open,51.8,52,130,135,140,,140,-95,95,-100,,95,165,-172.5,-172.5,,165,400,6,488.87,500.14,443.40,101.34,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Takaharu Ebihara,M,SBD,Raw,41.5,40-44,40-49,Open,58.7,59,180,182.5,200,,200,130,135,-140,,135,210,220,-235,,220,555,2,477.04,483.01,472.25,92.09,Yes,Japan,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
